Ingredientid,Formula,cid,smiles
407,C17H18O6 ,5315865,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC(C(C3)OC(=O)C)(C)C)O
410,C26H32O12 ,,
413,C4H7NO4 ,,
415,C17H20O8 ,,
423,C12H10O4 ,5315891,CC1=CC(=O)C2=C(O1)C=C(C=C2C(=O)C)O
439,C32H52O5 ,,
440,C10H14O ,,
443,C54H86O22 ,11968358,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C5CCC6C7C(CC(OC78CC6(C5(CCC4C3(C)C)C)CO8)C=C(C)C)(C)O)C)O)OC9C(C(C(C(O9)COC(=O)C)O)O)OC1C(C(C(CO1)O)O)O)O)O)O
444,C32H48O5 ,,
445,C22H36O5,5315935,CC(=O)OCC(C1(CCC2C(=C1)CCC3C2(CC(CC3(C)CO)O)C)C)O
454,C18H26O11,,
455,C18H26O11,,
456,C18H26O11,,
457,C18H26O11,101147141,CC1C(CC2C1C(OC=C2C(=O)O)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C
462,C32H50O4,,
464,C34H68O2 ,,
471,C19H22O8,92249812,CC(=C)C(=O)OC1CC23C(O2)CC(COC3O)C4C(O4)C5C1C(=C)C(=O)O5
478,C35H56O7 ,,
479,C19H26O3,101341430,CCCCCCCC1C(O1)CC#CC#CC(C=C)OC(=O)C
482,C32H48O7 ,,
483,C32H48O8 ,124027,CCCCCCCCCC(=O)OC12C(C1(C)C)C3C=C(CC4(C(C3(C(C2OC(=O)C)C)O)C=C(C4=O)C)O)CO
484,C40H60O8 ,6451043,CCCCCC=CCC=CCCCCCCCC(=O)OCC1=CC2C3C(C3(C(C(C2(C4C=C(C(=O)C4(C1)O)C)O)C)O)OC(=O)C)(C)C
485,C27H36O8 ,6451045,CC=C(C)C(=O)OC12C(C1(C)C)C3C=C(CC4(C(C3(C(C2OC(=O)C)C)O)C=C(C4=O)C)O)CO
487,C39H58BFN4O8 ,57998226,B1(OC2CC3CC(C3(C)C)C2(O1)C)C(CCC)NC(=O)C4CC(CN4C(=O)C(C(C)(C)C)NC(=O)OC(C)(C)C)OC(=O)N5CC6=C(C5)C(=CC=C6)F
488,C65H104O34 ,,
512,C37H58O10 ,10865257,CC(CC(C1C(O1)(C)C)OC(=O)C)C2C(=O)C(C3(C2(CCC45C3CCC6C4(C5)CCC(C6(C)C)OC7C(C(C(CO7)O)O)O)C)C)O
514,C18H18O6,9967285,CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)OC(=O)C)C
527,C32H50O6 ,102117193,CC(=O)OC1C(CC(O1)C2C(O2)(C)C)C3CC=C4C3(CCC5C4(C(CC6C5(CCC(C6(C)C)O)C)O)C)C
530,C32H50O4 ,6475119,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C(=O)O
543,C53H82O25 ,10463938,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC(C(C(=O)O)O)OCC(=O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
544,C41H62O15 ,,
545,C32H48O8,,
546,C32H50O6,42608289,CC(=O)OC1CCC2(C(C1(C)CO)CCC3(C2C(CC4(C3=CCC5(C4CC(CC5)(C)C)C(=O)O)C)O)C)C
547,C31H46O7,11005954,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C=O)O)O)C)C)C2C1)C)C(=O)O)C(=O)OC
548,C31H46O8,11763315,CC1(CCC2(CCC3(C(=CC(C4C3(CCC5C4(CC(C(C5(C)C=O)O)O)C)C)O)C2C1)C)C(=O)O)C(=O)OC
550,C15H24O ,5316175,CC(C)C1CCC2(CCCC(=C)C2C1=O)C
554,C34H47NO11 ,54742366,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC
555,C15H24 ,6429151,CC1CCC2(C=C1)C(CC=C2C(C)C)C
556,C15H24 ,20055537,CC1CCC(C12CCC(=CC2)C)C(=C)C
557,C15H24 ,15558663,CC1CCC(=C(C)C)C12CCC(=CC2)C
558,C15H24 ,6428281,CC1CCC(=C(C)C)C12CCC(=CC2)C
560,C15H24O ,10900151,CC1=CCCC(=CC(=O)C(CC1)C(C)C)C
561,C12H16O4 ,3083746,CC(=O)CC1=CC(=C(C=C1OC)OC)OC
