Ingredientid,Formula,cid,smiles
3526,C12H10O2,101211,CC1=CC2=C(C=C1)C(=O)C=C(C2=O)C
3527,C22H26N4,3083909,CN1CCC2(C1NC3=CC=CC=C32)C45CCN(C4NC6=CC=CC=C56)C
3528,C44H70O19 ,24893126,CC1COC2(CC1OC3C(C(C(C(O3)CO)O)O)O)C(C4C(O2)CC5C4(CCC6C5CC(=O)C7C6(CCC(C7)OC8C(C(C(C(O8)COC9C(C(C(CO9)O)O)O)O)O)O)C)C)C
3530,C21H16O6 ,5315827,COC1=C(C=C(C=C1)C2=C3C=C4C(=CC3=CC5=C2C(=O)OC5)OCO4)OC
3533,C15H18O4,639162,CC1(CCC2C(C3C1CC(=O)C3=C)OC(=O)C2=C)O
3534,C15H20O4,11139989,CC1C2C(CC1=O)C(CCC3C2OC(=O)C3=C)(C)O
3535,C15H18O4,11076242,CC1=C2C(CC1=O)C(CCC3C2OC(=O)C3=C)(C)O
3545,C15H19ClO5 ,442178,CC(C1CC2C(C3C14C(O4)C(C3(C)O)Cl)OC(=O)C2=C)O
3546,C27H41ClO3 ,5315830,CC(CCC(=O)C(C)C1C(=O)CC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CCl
3551,C16H18O9 ,1794427,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
3552,C28H48O4 ,52931478,CCC1C(CC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C)OC5(CCC(CO5)C)C
3558,C13H9ClOS,5315834,CC#CC#CC1=CC=C(S1)C#CC(CCl)O
3565,C17H25ClO3 ,130756,CCCCCCCC1C(O1)CC#CC#CC(C(CCl)O)O
3578,C40H60O12 ,16104489,CC(CCC(C(C)(C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O)OC(=O)C)COC5C(C(C(CO5)OC(=O)C)OC(=O)C)OC(=O)C
3579,C39H66O13 ,102218030,CC1C(C(C(C(O1)OC2CC3C4CC=C5CC(CC(C5(C4CCC3(C2C(C)C(CCC(C)C)O)C)C)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O
3585,C27H44O ,46840178,CC(C)CCCC(C)C1CCC2=C3CC=C4CC(CCC4(C3CCC12C)C)O
3586,C37H54O4 ,5315843,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)C=CC5=CC(=C(C=C5)O)OC)C)C
3588,C24H40O5 ,221493,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
3589,C5H14NO+ ,305,C[N+](C)(C)CCO
3592,C40H56O3 ,5376313,CC1=CC(CC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C2C=C3C(CC(CC3(O2)C)O)(C)C)C)C)(C)C)O
3594,C21H21O11+ ,44256715,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O
3595,C15H26O2 ,11118126,CC12CCC(CC1C(=C)C(CC2)O)C(C)(C)O
3596,C10H14O ,11789373,CC1=CCC2C(=O)C1C2(C)C
3597,C15H26O3 ,46173955,CC(C)(C1CCC(=C)C(CCC(=C)C(C1)O)O)O
3598,C15H12O3 ,221502,CC1=CC(=C2C=C3C(=CC2=C1)C=CC(=C3O)O)O
3599,C14H8O4 ,2950,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
3600,C15H9O4- ,25200543,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3[O-])O
3602,C16H11O6- ,25203524,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)[O-]
3603,C24H24O12,102371159,CC(=O)OCC1C(C(C(C(O1)OC2=C(C=C(C=C2)C3=CC(=O)C4=C(C=C(C=C4O3)O)O)OC)O)O)O
3608,C22H22O11,14406834,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O
3612,C19H18O7 ,155381,CC1=C(C(=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)OC)OC)OC)OC)O
3613,C25H28O12 ,442730,CC1=C(C(=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)OC)OC)OC)OC)OC4C(C(C(C(O4)CO)O)O)O
3615,C15H12O4 ,24867638,CC1=CC2C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
3617,C27H30O14,44463239,CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O
3619,C21H20O9 ,442731,CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)OC4C(C(C(C(O4)CO)O)O)O)O
3620,C21H20O9 ,442731,CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)OC4C(C(C(C(O4)CO)O)O)O)O
3624,C18H16O8 ,5280699,COC1=C(C(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O)OC
3630,C26H41NO2 ,5315861,CC1CCC2CC3CCC4C(C3CN2C1)CC5C4CC(=O)C6C5(CCC(C6)O)C
3631,C13H14O3 ,5315862,CCCC=C1C2=C(C=CC=C2O)C(=O)CO1
3632,C39H54O5 ,24203733,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C=CC6=CC=C(C=C6)O)C)C)C2C1C)C)C(=O)O
3633,C8H12N2 ,14296,CC1=C(N=C(C(=N1)C)C)C
3634,C12H18N2O12 ,322363,C(C[N+](=O)[O-])C(=O)OCC1C(C(C(C(O1)OC(=O)CC[N+](=O)[O-])O)O)O
3635,C15H16O9 ,5088914,C1=CC(=O)OC2=CC(=C(C=C21)O)OC3C(C(C(C(O3)CO)O)O)O
3650,C20H20O7 ,5315866,COC1=CC(=CC(=C1)O)C2C(C3=C(O2)C(=CC(=C3)C=CC(=O)O)OC)CO
3652,C35H52O9 ,54750570,CC1CC2(C3C(O3)(C(O2)O)C)OC4C1C5(CCC67CC68CCC(C(C8CC=C7C5(C4)C)(C)C)OC9C(C(C(CO9)O)O)O)C
3657,C36H56O9 ,,
3658,C30H48O5 ,23504335,CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)O)C)O2)C(C)(C)O
3670,C35H56O10 ,11856499,CC1CC2C(OC3(C1C4(C(CC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)O)C)O2)C(C)(C)O
3671,C40H64O13 ,192606,CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)OC9C(C(C(CO9)O)O)O)O)C)O2)C(C)(C)O
3672,C35H54O8 ,10371422,CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)C)O2)C(=C)C
3674,C21H20O11 ,5280637,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O
3680,C24H20O9 ,10456516,C1C(C(OC2=C3C(CC(=O)OC3=CC(=C21)O)C4=CC(=C(C=C4)O)O)C5=CC(=C(C=C5)O)O)O
3681,C24H20O9 ,442675,C1C(C(OC2=C3C(CC(=O)OC3=CC(=C21)O)C4=CC(=C(C=C4)O)O)C5=CC(=C(C=C5)O)O)O
3688,C10H18O ,10106,CC(C)C12CCC(O1)(CC2)C
3689,C10H18O ,2758,CC1(C2CCC(O1)(CC2)C)C
3693,C9H8O ,637511,C1=CC=C(C=C1)C=CC=O
3695,C9H8O2 ,444539,C1=CC=C(C=C1)C=CC(=O)O
3696,C9H10O ,5315892,C1=CC=C(C=C1)C=CCO
3697,C31H38O8 ,5315893,CC1C(=O)CC2(C(C34C1(C2(C)C)C(C(C3(CCC(C4=C)OC(=O)C=CC5=CC=CC=C5)C)OC(=O)C)O)O)O
3703,C22H22O11 ,5315898,C1=CC=C(C=C1)C=CC(=O)OC2C(C(C(OC2OC(=O)C3=CC(=C(C(=C3)O)O)O)CO)O)O
3706,C15H18O7 ,11972309,C1=CC=C(C=C1)C=CC(=O)OC2C(C(C(OC2O)CO)O)O
3709,C37H50O8,5315901,CC(C)C(=CC(=O)OC(C)C1(CCC2(C1(C(CC3C2(CC=C4C3(CCC(C4)O)C)O)OC(=O)C=CC5=CC=CC=C5)C)O)O)C
3710,C37H44O13,20704756,CC12COC3C1C4(COC(C4C5(C3OC6(C5(C7CC6C8(C=COC8O7)O)O)C)C)(C(=O)OC)OC)C(CC2O)OC(=O)C=CC9=CC=CC=C9
3713,C14H10N6O ,10125392,C1=CC(=CN=C1)C2=CC3=NC(=NN3C(=N2)N)C4=CC=CO4
3726,C11H12O2 ,5315912,CC(=O)OCC=CC1=CC=CC=C1
3727,C16H14O2 ,5705112,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2
3728,C18H16O2 ,1550890,C1=CC=C(C=C1)C=CCOC(=O)C=CC2=CC=CC=C2
3729,C25H36O4,53399211,CC1CC2C(CCC3C2(CCC(C3)O)C)C45C1CC(C4O5)C.C1=CC(=O)OC=C1
3730,C34H46O9,5315916,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5C3(CCC(C5)OC(=O)CCCCCCC(=O)O)C)C)C6=COC(=O)C=C6
3731,C26H34O7,12303266,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5C3(CCC(C5)O)CO)C)C6=COC(=O)C=C6
3732,C26H34O7,44144282,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5(C3(CCC(C5)O)C)O)C)C6=COC(=O)C=C6
3733,C40H58N4O10,5315918,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5C3(CCC(C5)OC(=O)CCCCCCC(=O)NC(CCCN=C(N)N)C(=O)O)C)C)C6=COC(=O)C=C6
3734,C32H42O8,5315919,CCC(C)C(=O)OC1C2C=C3C(CCC4(C3CC(=O)OC4C5=COC=C5)C)C(C2=O)(C(C1(C)C)CC(=O)OC)C
3741,C18H16O6 ,14235159,COC1=C(C=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3O2)OC)OC)O
3742,C24H26O12 ,11972310,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC4C(C(C(C(O4)CO)O)O)O
3743,C17H14O7 ,160237,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)OC
3745,C17H14O6 ,188323,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC
3747,C20H24NO4+ ,9884460,C[N+]12CCC3=CC(=C(C=C3C1CC4=C(C2)C(=C(C=C4)OC)O)O)OC
3748,C37H38N2O6 ,5351601,CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(COC5=C(C=C6CCNC(=C6C5=O)CC7=CC=C(O3)C=C7)OC)C=C4)OC)OC
3749,C9H13ClO3 ,5315924,C1COC2C3C1CC(C3(CO2)O)Cl
3750,C9H14O4 ,5315925,C1COC2C3C1CC(C3(CO2)O)O
3751,C36H48O20 ,24838371,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)COC4C(C(C(C(O4)OC)O)O)O)OCCC5=CC(=C(C=C5)O)OC)O)O)O)O
3752,C37H50O20 ,11972313,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)OC)COC4C(C(C(C(O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)OC)O)O)O)O
3753,C30H38O15 ,11972314,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)OC)O)O)O)O
3754,C31H40O15 ,11972315,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)OC)CO)OCCC4=CC(=C(C=C4)O)OC)O)O)O)O
3755,C21H32O13 ,5315931,CC(COC1C(C(C(C(O1)CO)O)OC2C(C(C(C(O2)O)O)O)O)O)C3=CC(=C(C=C3)O)OC
3756,C21H30O13 ,11968362,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)CCC3=CC(=C(C=C3)O)O)CO)O)O)O)O)O
3757,C20H30O11 ,11972316,CC1C(C(C(C(O1)OCCC2=CC=C(C=C2)O)O)OC3C(C(C(C(O3)CO)O)O)O)O
3758,C21H30O14 ,11972317,CC(=O)OC1C(C(C(OC1OCCC2=CC(=C(C=C2)O)O)CO)O)OC3C(C(C(C(O3)O)O)O)O
3759,C21H28O12 ,,
3760,C20H32O2 ,11197481,CC(=CCCC(=CC=O)C)C.CC(=CCCC(=CC=O)C)C
3761,C10H16O ,638011,CC(=CCCC(=CC=O)C)C
3762,C10H16O ,643779,CC(=CCCC(=CC=O)C)C
3765,C15H10O6 ,361512,C1=C(C=C2C(=C1O)C(=O)C3=C(C=C(C=C3C2=O)O)O)CO
3766,(a)C6H8O7(anhydrous) or C6H8O7 or CH2COOH-C(OH)COOH-CH2COOH ,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
3767,C10H18O ,75427,CC(CCC=C(C)C)CC=O
3768,C10H20O ,101977,CC(CCC=C(C)C)CCO
3769,C12H22O2 ,6999975,CC(CCC=C(C)C)CCOC(=O)C
3770,C11H10O4 ,2775,COC1=CC(=C2C=CC(=O)OC2=C1)OC
3771,C19H30O8 ,14312562,CC(=O)C=C=C1C(CC(CC1(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C
3773,C30H50O,25245448,CC=C(CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4C)O)C)C)C(C)C
3774,C6H13N3O3 ,637599,C(CC(C(=O)O)N)CNC(=O)N
3775,C28H34O11,101127372,CC(=O)OC1CC(=O)OC(C2C1(C3CCC4(C(OC(=O)C5C4(C3(C(=O)C2)C)O5)C6=CC(OC6=O)O)C)C)(C)C
3776,C27H36O13 ,11972318,COC1=CC(=CC(=C1OC(CO)C(C2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)OC)O)OC)C=CCO
3780,C17H30O ,11334208,C1CCCC=CCCCCCCCC(=O)CCC1
3781,C52H82O21,11968364,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(O9)CO)O)O)C)O)O)O)CO)O)O)O
3782,C55H88O22,11968365,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(O9)CO)O)O)C)(C)C)O)O)O)CC(=O)OC)O)O)O
3783,C22H26O9,5315944,COC1=CC(=CC(=C1O)OC)C2C(C(CO2)C(=O)C3=CC(=C(C(=C3)OC)O)OC)CO
3788,C24H28O4,5315945,CC1(C=CC2=C(C3=C(C(=C2O1)C(C)(C)C=C)OC(=O)C(=C3)C(C)(C)C=C)O)C
3809,C16H25NO2,5315953,CC1CC2CC(=O)C3(CCCN4C3(C1)C2CCC4)O
3810,C28H50O4,11633800,CC1(C2CCC(C(C2(CCC1O)C)CCC3C(CCC4C3(CCC(C4(C)C)O)C)O)O)C
3813,C16H25NO2,11666123,CC1CC23C4CCCN2CCCC3C(=O)CC4C1O
3818,C20H22O6,46173999,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC)O)O
3822,C14H12O4,,
3824,C81H132O43,11968366,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OCC4C(C(C(C(O4)OC(=O)C56CCC(CC5C7=CCC8C9(CCC(C(C9CCC8(C7(CC6)C)C)(C)C)OC1C(C(C(C(O1)C)OC1C(C(C(CO1)O)O)OC1C(C(C(CO1)O)O)OC1C(C(C(CO1)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O)C)(C)C)O)O)O)CO)CO)O)O)O
3825,C57H92O24,5315961,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)C)CCC4(C3CC=C5C4(CCC6(C5CC(CC6)(C)C)C(=O)O)C)C)C)O)O)OC7C(C(C(CO7)O)O)OC8C(C(C(CO8)O)O)OC9C(C(C(CO9)OC1C(C(C(C(O1)CO)O)O)O)O)O
3826,C87H142O48,11968367,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OCC4C(C(C(C(O4)OC(=O)C56CCC(CC5C7=CCC8C9(CCC(C(C9CCC8(C7(CC6)C)C)(C)C)OC1C(C(C(C(O1)C)OC1C(C(C(CO1)O)O)OC1C(C(C(CO1)O)O)OC1C(C(C(CO1)OC1C(C(C(C(O1)CO)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O)O)O)C)(C)C)O)O)O)CO)CO)O)O)O
3827,C93H152O52,11968368,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(OC(C(C3O)O)OC4COC(C(C4O)O)OC5C(C(COC5OC6C(C(COC6OC7C(OC(C(C7O)O)OC8CCC9(C(C8(C)C)CCC1(C9CC=C2C1(CCC1(C2CC(CC1)(C)C)C(=O)OC1C(C(C(C(O1)COC1C(C(C(C(O1)CO)OC1C(C(C(C(O1)CO)OC1C(C(C(C(O1)C)O)O)O)O)O)O)O)O)O)O)C)C)C)C)O)O)O)O)CO)O)O)O)O)O)O
3828,C6H11NOS,5315964,CCC1(CNC(=S)O1)C
3831,C21H20O9 ,11464176,COC1=CC(=CC(=C1O)OC)C2C(OC3=C4C(=CC(=C3O2)OC)C=CC(=O)O4)CO
3837,C31H42O12 ,5315968,CCC(C)(C(=O)OC1C(CC2C(C(=CC(C2(C13CO3)COC(=O)C)OC(=O)C)C)(C)C4CC5C=COC5O4)O)OC(=O)C
3844,C29H48O ,6324940,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(=C)C
3845,C48H78O19 ,122361914,CC1(CCC2(C(CC3(C(=C2C1)C=CC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)C)C)C)O)CO)C
3846,C33H40O19,24978604,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O
3848,C15H24 ,11229486,CC1(C=CC23C1CCC(C2)(CCC3)C)C
3854,C18H20O5 ,5315980,CC(C)C(=O)OC(C)(C)C1CC2=C(O1)C=CC3=C2OC(=O)C=C3
3855,C12H18O2 ,160710,CCCCC1C2CCC=CC2C(=O)O1
3856,C17H16O5 ,53398727,CC(=CCOC1=CC(=O)OC2=C1C=C3C=COC3=C2OC)C
3857,C19H24O10 ,45359747,COC1=C2C(=CC(=C1OC3C(C(C(C(O3)CO)O)O)O)CCC(=O)OC)C=CO2
3858,C12H18O2 ,5315981,CCCCC1C2=CCCCC2C(=O)O1
3860,C17H21NO5 ,54613779,CN1C2CC1C(C(C(C2)O)C(=O)OC)OC(=O)C3=CC=CC=C3
3868,C32H22MgO14 ,101380149,COC1=C2C(=CC(=C1)O)OC(=C(C2=O)O)C3=C(C=C(C=C3)O)O.COC1=C2C(=CC(=C1)O)OC(=C(C2=O)[O-])C3=C(C=C(C=C3)O)[O-].[Mg+2]
3869,C30H18CaO14 ,101380150,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O.C1=CC(=C(C=C1O)[O-])C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)[O-].[Ca+2]
3885,C18H21NO3 ,53477788,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
3886,C14H21NO4 ,442631,CC1C(C(C(N1C)C2=CC(=C(C=C2)OC)OC)O)O
3887,C5H5NO3 ,178371,C1C(=NC=CO1)C(=O)O
3889,C17H16O5 ,442697,COC1=C(C(=C2COC3=C4C2=C1CCC4=CC(=C3)O)O)OC
3906,C38H70O4,46173943,CCCCCCC=CCCCCCCCCCC(=O)OC(C)C(C)OC(=O)CCCCCCCC=CCCCCCC
3907,C8H7NO3,10772,COC1=CC2=C(C=C1)NC(=O)O2
3908,C15H24O4 ,11119093,CC1C2CCC3(C(CCC(C3C2OC1=O)(C)O)O)C
3909,C21H25NO5 ,220401,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
3911,C35H44N2O10S ,24848032,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O.CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
3912,C27H33NO11 ,10030376,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC4C(C(C(C(O4)CO)O)O)O
3925,C45H72O16,159860,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1
3930,C22H24N2O3,12303796,COC1=CC2=C(C=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5
3931,C22H24N2O3,251890,COC1=CC2=C(C=C1)N3C4C25CCN6C5CC7C4C(CC3=O)OCC=C7C6
3932,C30H46O4 ,21672700,CC(=C)C1CCC2(C1C3CCC4C(C3(CC2)C)(CCC5C4(C(C(C5(C)C)O)C=O)C)C)C(=O)O
3933,C50H78O19,3071390,CC(=CC1CC(C2C3CCC4C5(CCC(C(C5CCC4(C36CC2(O1)OC6)C)(C)C)OC7C(C(C(CO7)O)OC8C(C(C(C(O8)CO)OC(=O)C)OC9C(C(C(CO9)O)O)O)O)OC(=O)C)C)(C)O)C
3934,C20H20NO4+ ,72310,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC
3935,C19H20O5 ,53399217,CC=C(C)C(=O)OC(C)(C)C1CC2=C(O1)C=CC3=C2OC(=O)C=C3
3936,C14H14O4 ,442104,CC(C)(C1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O
3937,C16H16O5 ,161409,CC(=O)OC(C)(C)C1CC2=C(O1)C=CC3=C2OC(=O)C=C3
3938,C17H18O5 ,15389539,CCC(=O)OC(C)(C)C1CC2=C(O1)C=CC3=C2OC(=O)C=C3
3939,C20H22O6 ,10406089,CC12CCC3C(=O)OC(CC3(C1C4C=CC2(C(=O)O4)O)C)C5=COC=C5
3943,C15H20O3 ,5316022,CC1=C2CC3C(=C)CC(CC3(CC2OC1=O)C)O
3944,C27H44O7 ,5459840,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O
3945,C21H32O2 ,5316024,CC(=CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C)C=C
3946,C20H32O ,9965750,CC(=CCC1C(=C)CCC2C1(CCCC2(C)CO)C)C=C
3949,C28H32O16 ,56677686,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)O
3951,C22H32O5,,
3953,C22H32O6,,
3956,C22H34O5,,
3969,C24H30O4,11898466,CC1=CCC2C(C(CCC2(C1COC3=CC4=C(C=C3)C=CC(=O)O4)C)O)(C)C
3970,C24H28O4,11873470,CC1=CCC2C(C(=O)CCC2(C1COC3=CC4=C(C=C3)C=CC(=O)O4)C)(C)C
3971,C15H22O2,442187,CC1(CCCC2(C1CCC3=C2COC3=O)C)C
3973,C22H30O2,10381750,CC1=CC2=C(C=CC(O2)(C)CCC=C(C)CCC=C(C)C)C(=C1)O
3981,C16H22O8 ,11602622,COC1=C(C=CC(=C1)C=CCO)OC2C(C(C(C(O2)CO)O)O)O
3982,C10H12O3 ,1549095,COC1=C(C=CC(=C1)C=CCO)O
3983,C10H10O3,10866923,COC1=C(C=CC(=C1)C=CC=O)O
3986,C19H18O4,11978003,COC1=C(C=CC(=C1)C=CCOC(=O)C=CC2=CC=CC=C2)O
3987,C20H24O5,5316044,CC=C(C)C(=O)OCC=CC1=CC(=C(C=C1)OC(=O)C(=CC)C)OC
3988,C8H18N+ ,21583848,CCCC1CCCC[NH2+]1
3989,C22H36N2 ,5316046,CC1C2CCC3C2(CCC4C3CC=C5C4(CCC(C5)NC)C)CN1
3990,C21H20O8 ,5316047,COC1=CC(=CC2=C1OCO2)CC(=O)OCC=CC3=CC4=C(C(=C3)OC)OCO4
4005,C57H94O27 ,44135483,CC1C2C(CC3C2(CCC4C3CCC5C4(C(CC(C5)OC6C(C(C(C(O6)C)OC7C(C(C(C(O7)CO)O)O)O)O)O)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)C)O)O)O)O)O)C)C)OC1(CCC(=C)COC1C(C(C(C(O1)CO)O)O)O)O
4008,C32H52O9 ,6324954,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6(C5(C(CC(C6)OC7C(C(C(CO7)O)O)O)O)C)O)C)C)OC1
4028,C15H22 ,5316058,CC(C)C1CCC2(C3C1C2C(=C)C=C3)C
4029,C15H24 ,20055075,CC1=CCC2C3C1C2(CCC3C(C)C)C
4030,C8H14N2O4 ,4479242,C1CC1(NC(=O)CCC(C(=O)O)N)O
4032,C19H14NO4+ ,72322,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6
4033,C19H30O8,10317980,CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C
4036,C29H42O9 ,56840797,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O
4046,C10H17N3O3,102212195,CC(C)CC1C(=O)NC(C(=O)N1)CC(=O)N
4048,C10H13N5O3 ,267645,C1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)CO
4049,C27H44O4,,
4055,C27H26O18 ,53399184,C1C2C(=C(C(=C1O)O)O)C3=C(C(=C(CC3C(=O)OC4C(C(COC2=O)OC(C4O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)O)O
4057,C7H14O7 ,5316068,C(C(C(C(C(=O)C(CO)O)O)O)O)O
4059,C21H21NO6,100188,CC(=O)NC1CCC2=CC3=C(C(=C2C4=CC=C(C(=O)C=C14)OC)OC)OCO3
4060,C17H24O10 ,273110,CC1CC(=O)C2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O
4061,C22H34O5 ,46191017,CCCCCCCCCCCC(CC1=CC(=O)C=C(C1=O)OC)OC(=O)C
4062,C34H50O20 ,24883586,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)COC4CC5C(C(O4)C)C(OC=C5C(=O)OC)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O
